agency_cd,site_id,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc8,interval,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,date_begin,date_end,count_nu,yr_begin,yr_end,yr_total
USGS,09423350,CARUTHERS C NR IVANPAH CA,ST,35.24498915,-115.2988759,F,"NAD83",5640,20,NGVD29,15030102,dv,00060,00003,7194,NA,wat,NA,1645423,0,1963-10-01,2021-07-25,20904,1963,2021,58
USGS,09424150,"COLORADO RIVER AQUEDUCT NEAR PARKER DAM, AZ-CA",ST,34.31612564,-114.1571702,T,"NAD83",452,4.3,"NAVD88",15030101,dv,00060,00003,217314,NA,wat,NA,1645423,0,1981-10-01,2021-06-30,14518,1981,2021,40
USGS,09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,34.29557035,-114.140225,T,"NAD83",300.54,20,NGVD29,15030104,dv,00060,00003,5403,NA,wat,NA,1645423,0,1934-11-16,2021-07-25,31621,1934,2021,87
USGS,09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,33.71946626,-114.4980105,T,"NAD83",260,4.3,"NAVD88",15030104,dv,00060,00003,5420,NA,wat,NA,1645423,0,1956-03-24,2021-07-25,16763,1956,2021,65
USGS,09429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",ST,33.53502644,-114.5605103,T,"NAD83",NA,NA,NA,15030104,dv,00060,00003,5423,NA,wat,NA,1645423,0,1979-10-01,2021-06-30,14884,1979,2021,42
USGS,09429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",ST,33.50919375,-114.5774549,T,"NAD83",NA,NA,NA,15030104,dv,00060,00003,5424,NA,wat,NA,1645423,0,1979-10-01,2021-06-30,14884,1979,2021,42
USGS,09429180,"PVID D23 SPILL NEAR BLYTHE, CA",ST,33.4916942,-114.6035666,T,"NAD83",230,20,"NAVD88",15030104,dv,00060,00003,5425,NA,wat,NA,1645423,0,1968-01-01,2021-07-25,19200,1968,2021,53
USGS,09429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",ST,33.43391809,-114.6294005,T,"NAD83",NA,NA,NA,15030104,dv,00060,00003,295813,NA,wat,NA,1645423,0,1979-10-01,2021-06-30,14884,1979,2021,42
USGS,09429230,"PVID C28 LOWER SPILL NEAR BLYTHE, CA.",ST,33.3511427,-114.7141253,T,"NAD83",NA,NA,NA,15030104,dv,00060,00003,5431,NA,wat,NA,1645423,0,1967-08-01,2021-06-30,19328,1967,2021,54
USGS,09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",ST,32.8849361,-114.468111,5,"NAD83",NA,NA,NA,15030104,dv,00060,00003,213326,NA,wat,NA,1645423,0,1976-10-01,2021-07-25,16366,1976,2021,45
USGS,09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",ST,32.8122666,-114.5149494,T,"NAD83",120.81,20,NGVD29,15030107,dv,00060,00003,5438,NA,wat,NA,1645423,0,1971-12-16,2021-07-25,18119,1971,2021,50
USGS,09529600,"RESERVATION DRAIN NO. 7 NR BARD, CA",ST,32.81559999,-114.5477283,T,"NAD83",NA,NA,NA,15030107,dv,00060,00003,295841,NA,wat,NA,1645423,0,1979-10-01,2017-05-30,13392,1979,2017,38
USGS,09529700,"RESERVATION DRAIN NO. 6 NR. BARD, CA",ST,32.80421147,-114.5763403,T,"NAD83",NA,NA,NA,15030107,dv,00060,00003,5892,NA,wat,NA,1645423,0,1979-10-01,2017-05-30,13392,1979,2017,38
USGS,09529800,"RESERVATION DRAIN NO. 2 NR BARD, CA",ST,32.79643395,-114.5985632,T,"NAD83",NA,NA,NA,15030107,dv,00060,00003,5893,NA,wat,NA,1645423,0,1979-10-01,2017-05-30,13392,1979,2017,38
USGS,09529900,"RESERVATION DRAIN NO. 3 NR BARD, CA",ST,32.7747679,-114.6335642,T,"NAD83",NA,NA,NA,15030107,dv,00060,00003,5894,NA,wat,NA,1645423,0,1979-10-01,2017-05-30,13392,1979,2017,38
USGS,09530000,"RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ",ST,32.73726888,-114.621897,T,"NAD83",127,2.5,NGVD29,15030107,dv,00060,00003,5895,NA,wat,NA,1645423,0,1966-10-01,2021-07-25,19655,1966,2021,55
USGS,10251300,"AMARGOSA RV AT TECOPA, CA",ST,35.84944444,-116.2308333,D,"NAD83",1292.76,0.33,"NAVD88",18090202,dv,00060,00003,102473,NA,wat,NA,1645423,0,1961-10-01,2021-07-25,15886,1961,2021,60
USGS,10251330,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",ST,35.79052778,-116.2076389,1,"NAD83",1042.49,0.33,"NAVD88",18090202,dv,00060,00003,102474,NA,wat,NA,1645423,0,2006-06-13,2021-07-25,5517,2006,2021,15
USGS,10254050,SALT C NR MECCA,ST,33.44697395,-115.8433289,F,"NAD83",NA,NA,NA,18100204,dv,00060,00003,7210,NA,wat,NA,1645423,0,1961-02-01,2021-07-25,21614,1961,2021,60
USGS,10254670,ALAMO R AT DROP 3 NR CALIPATRIA CA,ST,33.10444444,-115.5441667,F,"NAD83",-190,20,NGVD29,18100204,dv,00060,00003,295888,NA,wat,NA,1645423,0,1979-07-01,2003-09-29,8848,1979,2003,24
USGS,10254730,ALAMO R NR NILAND CA,ST,33.19892768,-115.5969343,F,"NAD83",NA,NA,NA,18100204,dv,00060,00003,7216,NA,wat,NA,1645423,0,1960-10-01,2021-07-25,22213,1960,2021,61
USGS,10254970,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,ST,32.6658925,-115.5030501,F,"NAD83",-30,2.5,NGVD29,18100204,dv,00060,00003,7219,NA,wat,NA,1645423,0,1979-10-01,2021-07-25,15272,1979,2021,42
USGS,10255550,NEW R NR WESTMORLAND CA,ST,33.10476565,-115.6644382,F,"NAD83",-217,1.6,"NAVD88",18100204,dv,00060,00003,7223,NA,wat,NA,1645423,0,1943-01-01,2021-07-25,28696,1943,2021,78
USGS,10255885,SAN FELIPE C NR WESTMORLAND CA,ST,33.1239345,-115.8530559,F,"NAD83",-180,10,NGVD29,18100203,dv,00060,00003,7230,NA,wat,NA,1645423,0,1960-12-01,1991-09-30,11261,1960,1991,31
USGS,10256500,SNOW C NR WHITE WATER CA,ST,33.8705722,-116.681127,F,"NAD83",2000,40,NGVD29,18100201,dv,00060,00003,7242,NA,wat,NA,1645423,0,1921-07-21,2021-07-25,25418,1921,2021,100
USGS,10256501,SNOW C AND DIV COMBINED CA,ST,33.8705722,-116.681127,F,"NAD83",NA,NA,NA,18100201,dv,00060,00003,222409,NA,wat,NA,1645423,0,1959-10-01,2021-06-30,22554,1959,2021,62
USGS,10256550,SNOW C DIV NR WHITE WATER CA,ST,33.8705722,-116.681127,F,"NAD83",NA,NA,NA,18100201,dv,00060,00003,224997,NA,wat,NA,1645423,0,1978-10-01,2021-06-30,14883,1978,2021,43
USGS,10257499,FALLS C DIV NR WHITE WATER CA,ST,33.86946114,-116.6716824,S,"NAD83",1940,40,NGVD29,18100201,dv,00060,00003,224913,NA,wat,NA,1645423,0,1994-10-01,2021-06-30,9770,1994,2021,27
USGS,10257501,COMBINED FLOW FALLS C NR WHITE WATER + DIV CA,ST,33.86946114,-116.6716824,F,"NAD83",1940,40,NGVD29,18100201,dv,00060,00003,222410,NA,wat,NA,1645423,0,1994-10-01,2021-06-30,9770,1994,2021,27
USGS,10257548,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,ST,33.8989045,-116.6211256,S,"NAD83",1040,10,NGVD29,18100201,dv,00060,00003,7248,NA,wat,NA,1645423,0,1998-10-01,2021-07-25,8284,1998,2021,23
