comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid,station_nm,usgs_lat,usgs_lon,huc8,parm_cd,stat_cd,date_begin,date_end,yr_begin,yr_end,yr_total,gagetype,flowdays,flowcnt,ref_yr_start,ref_yr_end,ref_por_range
20247268,Peak_Dur_2,1,1,3,7,14,inferred,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_Dur_5,1,1,2,3,5,inferred,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_Fre_2,1,1,2,3,5,inferred,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_Fre_5,1,1,1,2,3,inferred,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_10,5481.02341891422,8441.553206224069,20805.1546704594,40279.906262703,55405.337611774696,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_2,883.054110313205,1483.05736590864,3517.7243837987,8720.460099825621,17178.1167413962,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_5,2479.614,4966.483,13467.34,25057.55,34807.69,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,DS_Dur_WS,54.45,97.6875,154.6,228.025,283.585,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,DS_Mag_50,9.62251433290879,90.6550483259878,178.390297671913,348.089366521554,557.624552642664,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,DS_Mag_90,23.4870575780989,103.917996706323,265.867518973198,450.601347580853,756.394029939212,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,DS_Tim,199.95,236.958333333333,281.425,313.3,335,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,FA_Dur,2,3,5,7,13.4,obs,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,FA_Mag,232.162639817516,593.726587404391,1688.74322547512,4045.6703719227,5091.0584384939,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,FA_Tim,4.66,11.875,36.9333333333334,55.2125,61.91,model,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
20247268,Peak_Dur_10,1,1,1,2,3.4,obs,predicted,10251300,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,18090202,00060,00003,1961-10-01,2021-07-28,1961,2021,60,ALT,1,1,NA,NA,NA
