metric,status_code,status,alteration_type,median_in_iqr,comid,gageid
DS_Dur_WS,0,indeterminate,low,FALSE,22595293,10255800
DS_Tim,0,indeterminate,late,FALSE,22595293,10255800
DS_Mag_50,-1,likely_altered,high,FALSE,22595293,10255800
DS_Mag_90,-1,likely_altered,high,FALSE,22595293,10255800
FA_Dur,1,likely_unaltered,none_found,TRUE,22595293,10255800
FA_Mag,1,likely_unaltered,none_found,TRUE,22595293,10255800
FA_Tim,1,likely_unaltered,none_found,TRUE,22595293,10255800
SP_ROC,1,likely_unaltered,none_found,TRUE,22595293,10255800
SP_Dur,1,likely_unaltered,none_found,TRUE,22595293,10255800
SP_Mag,1,likely_unaltered,none_found,TRUE,22595293,10255800
SP_Tim,1,likely_unaltered,none_found,TRUE,22595293,10255800
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22595293,10255800
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,22595293,10255800
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,22595293,10255800
Wet_Tim,0,indeterminate,early,FALSE,22595293,10255800
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22595293,10255800
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22595293,10255800
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22595293,10255800
Peak_10,1,likely_unaltered,none_found,FALSE,22595293,10255800
Peak_2,-1,likely_altered,high,FALSE,22595293,10255800
Peak_5,1,likely_unaltered,none_found,FALSE,22595293,10255800
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22595293,10255800
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22595293,10255800
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22595293,10255800
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22595619,10255810
DS_Tim,1,likely_unaltered,none_found,TRUE,22595619,10255810
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22595619,10255810
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22595619,10255810
FA_Dur,1,likely_unaltered,none_found,FALSE,22595619,10255810
FA_Mag,1,likely_unaltered,none_found,TRUE,22595619,10255810
FA_Tim,1,likely_unaltered,none_found,TRUE,22595619,10255810
SP_ROC,-1,likely_altered,high,FALSE,22595619,10255810
SP_Dur,1,likely_unaltered,none_found,TRUE,22595619,10255810
SP_Mag,1,likely_unaltered,none_found,TRUE,22595619,10255810
SP_Tim,1,likely_unaltered,none_found,TRUE,22595619,10255810
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22595619,10255810
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22595619,10255810
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,22595619,10255810
Wet_Tim,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_10,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_2,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_5,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_Fre_10,1,likely_unaltered,none_found,FALSE,22595619,10255810
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22595619,10255810
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22595619,10255810
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22593689,10257600
DS_Tim,1,likely_unaltered,none_found,TRUE,22593689,10257600
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22593689,10257600
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22593689,10257600
FA_Dur,1,likely_unaltered,none_found,TRUE,22593689,10257600
FA_Mag,1,likely_unaltered,none_found,TRUE,22593689,10257600
FA_Tim,-1,likely_altered,late,FALSE,22593689,10257600
SP_ROC,1,likely_unaltered,none_found,TRUE,22593689,10257600
SP_Dur,1,likely_unaltered,none_found,TRUE,22593689,10257600
SP_Mag,1,likely_unaltered,none_found,TRUE,22593689,10257600
SP_Tim,1,likely_unaltered,none_found,TRUE,22593689,10257600
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22593689,10257600
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22593689,10257600
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,22593689,10257600
Wet_Tim,1,likely_unaltered,none_found,FALSE,22593689,10257600
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,22593689,10257600
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22593689,10257600
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22593689,10257600
Peak_10,1,likely_unaltered,none_found,TRUE,22593689,10257600
Peak_2,1,likely_unaltered,none_found,FALSE,22593689,10257600
Peak_5,1,likely_unaltered,none_found,TRUE,22593689,10257600
Peak_Fre_10,1,likely_unaltered,none_found,FALSE,22593689,10257600
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22593689,10257600
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22593689,10257600
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Mag,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_ROC,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Mag,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Tim,0,indeterminate,unknown,TRUE,22592131,10259000
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,22592131,10259000
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,22592131,10259000
Wet_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,22592131,10259000
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_10,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_2,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_5,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,10744456,10295500
DS_Tim,1,likely_unaltered,none_found,TRUE,10744456,10295500
DS_Mag_50,1,likely_unaltered,none_found,TRUE,10744456,10295500
DS_Mag_90,1,likely_unaltered,none_found,TRUE,10744456,10295500
FA_Mag,1,likely_unaltered,none_found,TRUE,10744456,10295500
FA_Tim,1,likely_unaltered,none_found,TRUE,10744456,10295500
SP_Dur,1,likely_unaltered,none_found,TRUE,10744456,10295500
SP_Mag,1,likely_unaltered,none_found,TRUE,10744456,10295500
SP_Tim,1,likely_unaltered,none_found,TRUE,10744456,10295500
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,10744456,10295500
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,10744456,10295500
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,10744456,10295500
Wet_Tim,1,likely_unaltered,none_found,FALSE,10744456,10295500
Peak_10,1,likely_unaltered,none_found,FALSE,10744456,10295500
Peak_2,1,likely_unaltered,none_found,TRUE,10744456,10295500
Peak_5,1,likely_unaltered,none_found,FALSE,10744456,10295500
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,8922761,10308783
DS_Tim,1,likely_unaltered,none_found,TRUE,8922761,10308783
DS_Mag_50,1,likely_unaltered,none_found,FALSE,8922761,10308783
DS_Mag_90,-1,likely_altered,low,FALSE,8922761,10308783
FA_Mag,NA,not_enough_data,undeterminable,NA,8922761,10308783
FA_Tim,NA,not_enough_data,undeterminable,NA,8922761,10308783
SP_Dur,1,likely_unaltered,none_found,TRUE,8922761,10308783
SP_Mag,-1,likely_altered,low,FALSE,8922761,10308783
SP_Tim,1,likely_unaltered,none_found,TRUE,8922761,10308783
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,8922761,10308783
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,8922761,10308783
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,8922761,10308783
Wet_Tim,1,likely_unaltered,none_found,TRUE,8922761,10308783
Peak_10,1,likely_unaltered,none_found,TRUE,8922761,10308783
Peak_2,1,likely_unaltered,none_found,TRUE,8922761,10308783
Peak_5,1,likely_unaltered,none_found,TRUE,8922761,10308783
DS_Dur_WS,0,indeterminate,high,FALSE,8924041,10310000
DS_Tim,1,likely_unaltered,none_found,TRUE,8924041,10310000
DS_Mag_50,0,indeterminate,unknown,TRUE,8924041,10310000
DS_Mag_90,0,indeterminate,unknown,TRUE,8924041,10310000
FA_Mag,1,likely_unaltered,none_found,TRUE,8924041,10310000
FA_Tim,1,likely_unaltered,none_found,TRUE,8924041,10310000
SP_Dur,1,likely_unaltered,none_found,TRUE,8924041,10310000
SP_Mag,0,indeterminate,unknown,TRUE,8924041,10310000
SP_Tim,0,indeterminate,unknown,TRUE,8924041,10310000
Wet_BFL_Dur,0,indeterminate,low,FALSE,8924041,10310000
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,8924041,10310000
Wet_BFL_Mag_50,0,indeterminate,high,FALSE,8924041,10310000
Wet_Tim,0,indeterminate,late,FALSE,8924041,10310000
